,Author,Quotes,Likes,Tags
635,A.W. Tozer,"“Jesus Christ came not to condemn you but to save you, knowing your name, knowing all about you, knowing your weight right now, knowing your age, knowing what you do, knowing where you live, knowing what you ate for supper and what you will eat for breakfast, where you will sleep tonight, how much your clothing cost, who your parents were. He knows you individually as though there were not another person in the entire world. He died for you as certainly as if you had been the only lost one. He knows the worst about you and is the One who loves you the most.",68,"['die', 'god', 'gospel', 'jesus', 'john-3-16', 'knowing', 'lost', 'personal', 'redeem', 'salvation']"
636,Criss Jami,"“The humble sinner will sometimes be interpreted as one of the filthiest in the eyes of man yet immersed in the eyes of God, and this is due to the volition of honesty regarding his own corruption.”",66,"['cleansed', 'corruption', 'filthy', 'god', 'honesty', 'humility', 'man', 'misunderstood', 'sinner']"
637,David Levithan,"“I want to have faith in strangers. I want to have faith in what we're all going to do next. But I'm worried. I see things shifting from United We Stand to God Bless America. I don't believe in God Bless America. I don't believe a higher power is standing beside us and guiding us. I don't believe we're being singled out. I believe much more in United We Stand. I have my doubts, but I want it to be true. Wouldn't it be wonderful if we really came together, if we really found a common humanity? The hitch is that you can't find a common humanity just because you have a common enemy. You have to find a common humanity because you believe that's true. ”",65,"['god', 'god-bless-america', 'united-states', 'united-we-stand']"
638,Peter Kreeft,"“If you place [your bet] with God, you lose nothing, even if it turns out that God does not exist. But if you place it against God, and you are wrong and God does exist, you lose everything.”",63,"['existence', 'faith', 'god']"
639,Anonymous,"“The Lord is my rock, and my fortress, and my deliverer; My God, my strength, in whom I will trust; My shield, and the horn of my salvation; my stronghold.”",61,"['god', 'religion', 'strength']"
640,Steven James,“God dances with the outcast.”,60,"['god', 'hope', 'inspirational', 'outcast']"
641,James Madison,"“Religious bondage shackles and debilitates the mind, and unfits it for every noble enterprise, every expanded prospect.",59,"['atheism', 'god', 'religion']"
642,Suzy Kassem,"“Nobody can turn you into a slave unless you allow them. Nobody can make you afraid of anything, unless you allow them. Nobody can tell you to do something wrong, unless you allow them. God never created you to be a slave, man did. God never created division or set up any borders between brothers, man did. God never told you hurt or kill another, man did. So why is man your god, and not the Creator?”",50,"['afraid', 'border', 'brotherhood', 'brothers', 'conscience', 'creator', 'divine-heart', 'division', 'ethics', 'faith', 'fear', 'god', 'hate', 'human-nature', 'kill', 'killing', 'love', 'man', 'peace', 'religious', 'right', 'slave', 'slavery', 'truth', 'unconditional-love', 'wrong']"
643,Gary Parker,"“If faith never encounters doubt, if truth never struggles with error, if good never battles evil, how can faith know its own power? In my own pilgrimage, if I had to choose between a faith that has stared doubt in the eye and made it blink, or a naive faith that has never known the firing line of doubt, I will choose the former every time.”",48,"['faith', 'god', 'inspirational', 'religion']"
644,سعدی,“Have patience. All things are difficult before they become easy.”,48,"['god', 'iranian-poet', 'life', 'love', 'religion', 'spiritual']"
645,Max Lucado,“The wizard [of Oz] says look inside yourself and find self. God says look inside yourself and find [the Holy Spirit]. The first will get you to Kansas.,45,"['god', 'heaven', 'holy-spirit', 'kansas', 'wizard-of-oz']"
646,Lance Armstrong,"“If there was a god, I'd still have both nuts.”",43,"['athiesm', 'god', 'penises', 'religion', 'testicles']"
647,Anonymous,"“I am not ashamed of the gospel, because it is the power of God for the salvation of everyone who believes: first for the Jew, then for the Gentile.”",43,"['belief', 'bible', 'gentile', 'god', 'gospel', 'jew', 'romans-1-16', 'salvation']"
648,Jodi Picoult ,"“A sacrament--like marriage--means living a life better than your natural instincts, so that you're modeling God. And God never gives up.”",43,"['dedication', 'god', 'marriage']"
649,A. W. Tozer,"“Philosophy and science have not always been friendly toward the idea of God, the reason being they are dedicated to the task of accounting for things and are impatient with anything that refuses to give an account of itself. The philosopher and the scientist will admit that there is much that they do not know; but that is quite another thing from admitting there is something which they can never know, which indeed they have no technique for discovering.”",41,"['god', 'incomprehension', 'philosophy', 'science']"
