,Author,Quotes,Likes,Tags
42,Chuck Palahniuk,"“All God does is watch us and kill us when we get boring. We must never, ever be boring.”",11458,"['god', 'humor', 'life']"
43,George V. Higgins,"“This life’s hard, but it’s harder if you’re stupid.”",11223,"['humor', 'life', 'misattributed-john-wayne']"
44,Jonathan Safran Foer,“Sometimes I can hear my bones straining under the weight of all the lives I'm not living.”,11162,['life']
45,Margaret Mead,"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",11013,"['activism', 'attributed-no-source', 'change', 'inspirational', 'life', 'philosophy', 'world']"
46,Mitch Albom,"“Death ends a life, not a relationship.”",11002,"['death', 'life']"
47,Gustave Flaubert,"“Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”",10739,"['books', 'inspirational', 'life', 'reading']"
48,Michael Cunningham,“You cannot find peace by avoiding life.”,10226,"['life', 'peace']"
49,Gilda Radner,"“I wanted a perfect ending. Now I've learned, the hard way, that some poems don't rhyme, and some stories don't have a clear beginning, middle, and end. Life is about not knowing, having to change, taking the moment and making the best of it, without knowing what's going to happen next.",9890,"['ambiguity', 'life', 'stories', 'uncertainty', 'unpredictability']"
50,Mahatma Gandhi,“Where there is love there is life.”,9740,"['life', 'love']"
51,Jonathan Swift,“May you live every day of your life.”,9728,"['inspirational', 'life', 'philosophy', 'wisdom']"
52,John Lennon,"“There are two basic motivating forces: fear and love. When we are afraid, we pull back from life. When we are in love, we open to all that life has to offer with passion, excitement, and acceptance. We need to learn to love ourselves first, in all our glory and our imperfections. If we cannot love ourselves, we cannot fully open to our ability to love others or our potential to create. Evolution and all hopes for a better world rest in the fearlessness and open-hearted vision of people who embrace life.”",9216,"['beatles', 'fear', 'life', 'love']"
53,Stephen King,“Get busy living or get busy dying.”,9202,['life']
54,Rick Riordan,"“If my life is going to mean anything, I have to live it myself.”",9163,"['inspirational', 'life', 'meaning']"
55,E.B. White,"“If the world were merely seductive, that would be easy. If it were merely challenging, that would be no problem. But I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.”",9073,"['activism', 'humor', 'life', 'pleasure']"
56,Robert Frost,"“These woods are lovely, dark and deep,",8977,['life']
57,Arundhati Roy,"“To love. To be loved. To never forget your own insignificance. To never get used to the unspeakable violence and the vulgar disparity of life around you. To seek joy in the saddest places. To pursue beauty to its lair. To never simplify what is complicated or complicate what is simple. To respect strength, never power. Above all, to watch. To try and understand. To never look away. And never, never to forget.”",8918,['life']
58,J.M. Barrie,"“All the world is made of faith, and trust, and pixie dust.”",8915,"['faith', 'life', 'pixie-dust', 'trust']"
59,J.K. Rowling,"“I DON'T CARE!"" Harry yelled at them, snatching up a lunascope and throwing it into the fireplace. ""I'VE HAD ENOUGH, I'VE SEEN ENOUGH, I WANT OUT, I WANT IT TO END, I DON'T CARE ANYMORE!""",8773,"['ache', 'death', 'dumbledore', 'harry-potter', 'hurt', 'life', 'pain']"
60,May Sarton,"“We have to dare to be ourselves, however frightening or strange that self may prove to be.”",8830,"['authenticity', 'life', 'philosophy', 'self']"
61,Oscar Wilde,“Anyone who lives within their means suffers from a lack of imagination.”,8788,"['imagination', 'life', 'money']"
62,Cassandra Clare,“Life is a book and there are a thousand pages I have not yet read.”,8757,"['chapter-24', 'life', 'will-herondale']"
